,STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,geometry
0,22,071,001722,1400000US22071001722,22071001722,17.22,CT,2521142,0,"POLYGON ((-90.014005 30.020274, -90.01166499999999 30.02088599999999, -90.00982399999999 30.020824, -90.00261599999999 30.021534, -89.99967199999999 30.021818, -89.995295 30.023086, -89.98947 30.023901, -89.989408 30.019571, -89.988866 30.014181, -89.99301299999999 30.013445, -90.002861 30.011947, -90.008855 30.011302, -90.01319599999999 30.010848, -90.01385300000001 30.018497, -90.014005 30.020274))"
1,22,055,001902,1400000US22055001902,22055001902,19.02,CT,17033509,0,"POLYGON ((-92.142078 30.235271, -92.12512799999999 30.235211, -92.12404699999999 30.235215, -92.11650800000001 30.235182, -92.107404 30.235104, -92.098342 30.235067, -92.094661 30.23502, -92.093839 30.235013, -92.076285 30.234976, -92.076138 30.233789, -92.07481299999999 30.23217799999999, -92.075165 30.232185, -92.07491 30.231737, -92.07465499999999 30.225091, -92.074299 30.224371, -92.07431199999999 30.221342, -92.07563999999999 30.220206, -92.075858 30.219127, -92.07565 30.210529, -92.083764 30.210546, -92.084912 30.210543, -92.087012 30.21055, -92.09216699999999 30.21058, -92.09957999999999 30.210606, -92.108322 30.210602, -92.108502 30.211916, -92.11278000000001 30.21191899999999, -92.114611 30.211914, -92.12066999999999 30.211885, -92.141927 30.211763, -92.142078 30.235271))"
2,22,051,027000,1400000US22051027000,22051027000,270,CT,2561727,0,"POLYGON ((-90.133399 29.894973, -90.13318599999999 29.895433, -90.133071 29.895853, -90.130607 29.90237, -90.123176 29.901109, -90.118827 29.90048699999999, -90.11961699999999 29.893881, -90.12051300000002 29.885898, -90.11920099999999 29.885967, -90.119354 29.880193, -90.120666 29.880676, -90.123947 29.883848, -90.125694 29.885421, -90.126548 29.885593, -90.133336 29.886572, -90.13647499999999 29.887069, -90.133399 29.894973))"
3,22,083,970600,1400000US22083970600,22083970600,9706,CT,476835017,3913456,"POLYGON ((-92.03446199999999 32.278739, -92.03116799999999 32.281402, -92.02905 32.279517, -92.02738099999999 32.278782, -92.02536099999999 32.278689, -92.022503 32.279153, -92.02131399999999 32.280203, -92.01530000000001 32.289164, -92.01365299999999 32.290761, -92.012303 32.291193, -91.996139 32.291428, -91.99597399999999 32.294784, -91.994761 32.297758, -91.993831 32.29875, -91.990742 32.300646, -91.98965299999999 32.300884, -91.981488 32.300904, -91.978309 32.301411, -91.96954699999999 32.307586, -91.968513 32.308588, -91.965042 32.313947, -91.96381699999999 32.317856, -91.96297200000001 32.319156, -91.959479 32.321044, -91.95235799999999 32.324278, -91.94427499999999 32.332122, -91.92855999999999 32.343665, -91.926453 32.340425, -91.92616 32.339836, -91.92402799999999 32.340317, -91.91809099999999 32.340452, -91.914879 32.341299, -91.91158600000001 32.339534, -91.90875299999999 32.33669400000001, -91.909538 32.331263, -91.90924199999999 32.328812, -91.90797599999999 32.32313, -91.90859700000001 32.319854, -91.90973099999999 32.317472, -91.909301 32.313462, -91.90660500000001 32.308971, -91.905743 32.305349, -91.903235 32.302348, -91.90245 32.300713, -91.900566 32.29969, -91.89813699999999 32.300857, -91.898487 32.302484, -91.90199299999999 32.304409, -91.90301799999999 32.306196, -91.90352800000001 32.31188, -91.902934 32.313048, -91.90118 32.314331, -91.89662 32.315337, -91.891514 32.317771, -91.889657 32.318886, -91.88884999999999 32.320316, -91.888441 32.323009, -91.889681 32.324751, -91.89374099999999 32.327402, -91.900308 32.332911, -91.903437 32.336875, -91.90427199999999 32.340519, -91.904298 32.342948, -91.902434 32.348171, -91.901003 32.349958, -91.89746600000001 32.35259, -91.89570999999999 32.354813, -91.894926 32.357402, -91.89287400000001 32.358569, -91.88968899999999 32.35831400000001, -91.88655899999999 32.356113, -91.88054199999999 32.353684, -91.878652 32.353248, -91.876358 32.353499, -91.87330299999999 32.355699, -91.870632 32.356547, -91.86701499999999 32.356641, -91.86393699999999 32.355383, -91.86207499999999 32.356482, -91.86169799999999 32.358773, -91.863399 32.359507, -91.867988 32.359665, -91.87165899999999 32.360191, -91.87718699999999 32.363534, -91.87861599999999 32.366352, -91.878804 32.367727, -91.881085 32.374102, -91.881772 32.375489, -91.88616999999999 32.380816, -91.88781399999999 32.384777, -91.88767799999999 32.38690700000001, -91.88675900000001 32.388233, -91.884192 32.389926, -91.88373199999999 32.391689, -91.882003 32.392328, -91.878872 32.390815, -91.87779400000001 32.388134, -91.877796 32.384766, -91.87723100000001 32.38259, -91.87558 32.380802, -91.875473 32.377663, -91.873994 32.376268, -91.872806 32.376291, -91.870998 32.377254, -91.87059499999999 32.380119, -91.87127099999999 32.382936, -91.871003 32.385616, -91.86863 32.390406, -91.86660599999999 32.392285, -91.863663 32.393272, -91.859776 32.395335, -91.858724 32.398223, -91.85780699999999 32.399025, -91.854027 32.400286, -91.85256799999999 32.400309, -91.85016299999999 32.398752, -91.84746299999999 32.398615, -91.846059 32.400014, -91.84419699999999 32.403519, -91.84419799999999 32.405215, -91.84768299999999 32.410276, -91.846982 32.412796, -91.84830599999999 32.414606, -91.826645 32.414423, -91.827894 32.409582, -91.82852799999999 32.405836, -91.829931 32.402631, -91.831886 32.400148, -91.822755 32.399985, -91.82190199999999 32.399636, -91.81347799999999 32.402541, -91.80546699999999 32.404594, -91.80229199999999 32.406167, -91.79247199999999 32.405875, -91.78608899999999 32.405303, -91.78320599999999 32.405811, -91.76766699999999 32.4058, -91.76718300000002 32.407581, -91.761297 32.405842, -91.73694999999999 32.405807, -91.69887 32.405744, -91.69731499999999 32.402065, -91.696641 32.401629, -91.695663 32.401922, -91.694408 32.400652, -91.691678 32.399251, -91.687552 32.398294, -91.685788 32.396935, -91.68358599999999 32.396756, -91.68154199999999 32.397267, -91.679604 32.396496, -91.677201 32.396146, -91.675878 32.39539, -91.675905 32.3939, -91.67439299999999 32.392182, -91.674313 32.388654, -91.67585199999999 32.38643200000001, -91.67533999999999 32.38469, -91.676501 32.383705, -91.67906500000001 32.384416, -91.68025299999999 32.383544, -91.678364 32.379468, -91.678634 32.375963, -91.680278 32.374754, -91.680386 32.373144, -91.68322099999999 32.372571, -91.68497599999999 32.371266, -91.689511 32.37291500000001, -91.69024 32.372618, -91.69118399999999 32.370052, -91.697491 32.371119, -91.698824 32.369594, -91.696772 32.363293, -91.69741999999999 32.362377, -91.701199 32.361575, -91.70338599999999 32.35939800000001, -91.701415 32.355755, -91.699606 32.356167, -91.698958 32.353738, -91.700632 32.35248, -91.69963299999999 32.350257, -91.70194599999999 32.348824, -91.702304 32.347738, -91.701538 32.344879, -91.70345499999999 32.342497, -91.70562099999999 32.34333, -91.70890799999999 32.343522, -91.711545 32.343096, -91.71417799999999 32.3432, -91.71560799999999 32.341939, -91.715661 32.339923, -91.71835899999999 32.337815, -91.718791 32.336852, -91.72279899999999 32.334961, -91.72318799999999 32.333621, -91.72631899999999 32.33488, -91.72804499999999 32.333641, -91.73171699999999 32.33497, -91.73624900000002 32.333227, -91.740837 32.333889, -91.742537 32.334691, -91.74361900000001 32.338631, -91.74488799999999 32.339502, -91.74596699999999 32.339432, -91.746532 32.337164, -91.74963 32.33565, -91.751774 32.335603, -91.75447299999999 32.334069, -91.756497 32.333956, -91.757468 32.334804, -91.760841 32.335355, -91.761786 32.334302, -91.762435 32.332011, -91.76437899999999 32.330018, -91.761225 32.326864, -91.76281299999999 32.324554, -91.760813 32.324492, -91.76066 32.322204, -91.7591 32.319496, -91.75909799999999 32.317714, -91.76055699999999 32.314186, -91.763469 32.31331, -91.765452 32.312067, -91.76609599999999 32.310719, -91.76483499999999 32.310266, -91.76074699999999 32.310781, -91.760019 32.311321, -91.757921 32.309779, -91.759507 32.30904, -91.762062 32.304707, -91.764825 32.305858, -91.766285 32.305624, -91.76638 32.303783, -91.767442 32.301079, -91.76683500000001 32.30019, -91.764635 32.300964, -91.76368699999999 32.302352, -91.76194099999999 32.298789, -91.764473 32.297832, -91.76763099999999 32.297406, -91.769109 32.295468, -91.767403 32.294507, -91.765345 32.294652, -91.763942 32.29587, -91.762472 32.295305, -91.76253899999999 32.293224, -91.76378099999999 32.291649, -91.764455 32.290636, -91.767585 32.28869, -91.768638 32.285688, -91.768722 32.28340500000001, -91.767827 32.281208, -91.770124 32.281633, -91.773388 32.278565, -91.77411699999999 32.277351, -91.774469 32.272745, -91.77179799999999 32.27299, -91.77116199999999 32.271456, -91.77351300000001 32.27088500000001, -91.773285 32.26885, -91.774446 32.265255, -91.77404199999999 32.263536, -91.769857 32.260184, -91.770904 32.259362, -91.772752 32.259895, -91.77318799999999 32.258215, -91.769165 32.257188, -91.76957 32.255951, -91.771377 32.254554, -91.772893 32.254703, -91.773736 32.253743, -91.77211299999999 32.252035, -91.77153899999999 32.24805200000001, -91.774855 32.247023, -91.775504 32.242852, -91.778442 32.243609, -91.78032899999999 32.243038, -91.78049899999999 32.242185, -91.777642 32.241138, -91.77672899999999 32.238815, -91.77896799999999 32.238346, -91.780535 32.240184, -91.782028 32.240678, -91.78688099999999 32.239099, -91.787555 32.238069, -91.78529100000002 32.237175, -91.78537299999999 32.235456, -91.788285 32.233531, -91.789068 32.231997, -91.791601 32.232112, -91.79281499999999 32.229959, -91.79400099999999 32.229089, -91.792007 32.225673, -91.79219599999999 32.225102, -91.79704799999999 32.225125, -91.80059799999999 32.223564, -91.80287 32.223339, -91.804783 32.221781, -91.80726299999999 32.220796, -91.80783099999999 32.221804, -91.809163 32.22108, -91.808449 32.21924, -91.80927299999999 32.218095, -91.81157499999999 32.218918, -91.810575 32.219521, -91.81093799999999 32.222006, -91.81294 32.222004, -91.81192899999999 32.218705, -91.813273 32.217222, -91.819768 32.213672, -91.82073799999999 32.211357, -91.819795 32.206729, -91.819114 32.20523, -91.820138 32.205047, -91.82254399999999 32.20503300000001, -91.824134 32.203201, -91.824511 32.199833, -91.824214 32.197404, -91.82491399999999 32.19596, -91.82302799999999 32.192272, -91.823162 32.190002, -91.82680000000001 32.192408, -91.82979 32.189042, -91.831648 32.183839, -91.833151 32.182792, -91.83050299999999 32.181013, -91.831715 32.180011, -91.834492 32.180024, -91.83571999999999 32.18195, -91.836883 32.179828, -91.834834 32.17933, -91.83728500000001 32.176158, -91.838291 32.176512, -91.83832199999999 32.178181, -91.84102399999999 32.177646, -91.84196799999999 32.175023, -91.84313399999999 32.174998, -91.84459699999999 32.176198, -91.84558199999999 32.175778, -91.846603 32.173824, -91.84909499999999 32.172862, -91.85042299999999 32.172964, -91.851337 32.175198, -91.852295 32.175342, -91.85476899999999 32.174137, -91.854839 32.176243, -91.856914 32.175401, -91.856712 32.173901, -91.85906199999999 32.172688, -91.863843 32.174021, -91.864655 32.171664, -91.86560299999999 32.171841, -91.866005 32.173591, -91.86695399999999 32.174008, -91.867994 32.172443, -91.868838 32.172562, -91.87016 32.17461, -91.871331 32.172244, -91.87273399999999 32.171824, -91.875129 32.173893, -91.87662899999999 32.170603, -91.880366 32.171343, -91.88060500000002 32.169648, -91.88380099999999 32.168295, -91.88679499999999 32.165734, -91.88497 32.164037, -91.88597799999999 32.162529, -91.888351 32.162303, -91.887748 32.160255, -91.88944699999999 32.158147, -91.89087499999999 32.157345, -91.89052599999999 32.154986, -91.891604 32.154047, -91.893597 32.153703, -91.89472900000001 32.15155, -91.89591399999999 32.152513, -91.89944199999999 32.15224, -91.90043799999999 32.152698, -91.89998 32.153751, -91.89376999999999 32.156046, -91.893272 32.157347, -91.89386399999999 32.158102, -91.896799 32.158906, -91.89617899999999 32.160327, -91.89332399999999 32.160325, -91.89181599999999 32.161057, -91.892031 32.162112, -91.894885 32.16358, -91.89841299999999 32.164932, -91.901456 32.165506, -91.90387800000001 32.166651, -91.90749 32.165394, -91.909267 32.166196, -91.90958999999999 32.167892, -91.910586 32.16906, -91.912122 32.168625, -91.91311899999999 32.167158, -91.91559699999999 32.166128, -91.91864099999999 32.166725, -91.92149599999999 32.167985, -91.92475499999999 32.167299, -91.92632399999999 32.165698, -91.92755799999999 32.165351, -91.932756 32.165236, -91.93534199999999 32.166978, -91.93800899999999 32.167872, -91.940648 32.170415, -91.940325 32.173302, -91.940702 32.174677, -91.94250000000001 32.175474, -91.944064 32.174822, -91.945263 32.172694, -91.946315 32.171857, -91.94815299999999 32.172044, -91.950892 32.174137, -91.95239099999999 32.174464, -91.954852 32.173558, -91.958935 32.17022, -91.961671 32.169409, -91.96581399999999 32.169837, -91.968255 32.169778, -91.97000799999999 32.169079, -91.97287999999999 32.166742, -91.977783 32.165914, -91.97986800000001 32.166148, -91.98112300000001 32.167493, -91.981235 32.169049, -91.977465 32.173206, -91.976333 32.175337, -91.97590199999999 32.178365, -91.97823 32.182637, -91.97992599999999 32.187956, -91.98347799999999 32.18988, -91.983727 32.191829, -91.98231299999999 32.19329200000001, -91.979411 32.194564, -91.97685 32.195051, -91.974564 32.196465, -91.972684 32.198617, -91.973038 32.202405, -91.973761 32.203584, -91.97525499999999 32.20429, -91.97790599999999 32.204206, -91.97981899999999 32.203384, -91.983953 32.200377, -91.990511 32.197414, -91.997604 32.19231, -92.00013199999999 32.190393, -92.00420799999999 32.190103, -92.006626 32.190395, -92.0081 32.191598, -92.00910399999999 32.193511, -92.008815 32.197412, -92.00756899999999 32.200243, -92.00639099999999 32.201628, -92.00307599999999 32.203158, -91.99861199999999 32.204681, -91.99661999999999 32.206116, -91.991596 32.210818, -91.98918399999999 32.211998, -91.980372 32.213333, -91.97946899999999 32.213904, -91.97797899999999 32.216175, -91.97774 32.218645, -91.97810799999999 32.220222, -91.98025500000001 32.223399, -91.983087 32.224296, -91.98483499999999 32.223089, -91.986498 32.218342, -91.988405 32.215198, -91.990161 32.213821, -91.99301699999999 32.212564, -91.998233 32.21153200000001, -92.00013199999999 32.211686, -92.001558 32.213676, -92.00013199999999 32.216105, -91.99856799999999 32.216957, -91.996167 32.217428, -91.99309 32.219259, -91.991422 32.22170699999999, -91.990876 32.223695, -91.99118 32.225499, -91.992589 32.227093, -91.995597 32.228392, -91.99808299999999 32.228776, -92.00540199999999 32.228909, -92.00747699999999 32.231052, -92.00630099999999 32.232672, -92.001074 32.233134, -91.99857799999999 32.235844, -91.998074 32.238269, -91.998068 32.244543, -91.996989 32.246383, -91.990465 32.249232, -91.98700199999999 32.250149, -91.986159 32.250833, -91.98616799999999 32.252555, -91.987409 32.253404, -91.99004599999999 32.253357, -91.993449 32.251787, -91.997365 32.251815, -92.00013199999999 32.252851, -92.001437 32.256818, -92.00013199999999 32.258699, -91.995232 32.26205, -91.992132 32.26375, -91.99153199999999 32.265749, -91.991963 32.270319, -91.99261 32.272562, -91.99282100000001 32.275653, -91.99336699999999 32.276795, -92.034397 32.277068, -92.03446199999999 32.278739))"
4,22,071,000701,1400000US22071000701,22071000701,7.01,CT,1021801,130295,"POLYGON ((-90.027396 29.963836, -90.02187099999999 29.980672, -90.021698 29.980719, -90.020557 29.979944, -90.01965899999999 29.979708, -90.015862 29.978832, -90.01691099999999 29.97573, -90.01724 29.9747, -90.017955 29.972638, -90.01898799999999 29.969548, -90.019797 29.967165, -90.020741 29.964404, -90.02136899999999 29.962529, -90.025255 29.963333, -90.027396 29.963836))"
5,22,105,954200,1400000US22105954200,22105954200,9542,CT,3601090,0,"POLYGON ((-90.48278499999999 30.519181, -90.476433 30.519189, -90.46549499999999 30.519211, -90.461876 30.50695899999999, -90.461596 30.50601, -90.461018 30.504102, -90.47010899999999 30.50204399999999, -90.474132 30.501121, -90.474656 30.500999, -90.48257699999999 30.500915, -90.482522 30.504565, -90.48278499999999 30.519181))"
6,22,073,000100,1400000US22073000100,22073000100,1,CT,4173684,92152,"POLYGON ((-92.134934 32.526416, -92.12979899999999 32.529316, -92.12860999999999 32.5279, -92.12554 32.52967, -92.12679 32.53126, -92.12457999999999 32.53364, -92.12236300000001 32.534209, -92.11750000000001 32.52882, -92.11758999999999 32.52876, -92.11660000000001 32.52772, -92.11190000000001 32.52281, -92.109139 32.519959, -92.10813999999999 32.51873, -92.11537 32.51408, -92.11880000000001 32.51185, -92.12446 32.50817, -92.12336999999999 32.50689, -92.125289 32.505668, -92.129634 32.510144, -92.13108699999999 32.512673, -92.133534 32.518344, -92.135508 32.525298, -92.134934 32.526416))"
7,22,109,000402,1400000US22109000402,22109000402,4.02,CT,1817878,0,"POLYGON ((-90.75626699999999 29.631126, -90.753057 29.632431, -90.750316 29.632595, -90.750686 29.633307, -90.748221 29.634369, -90.738873 29.638105, -90.73519499999999 29.632602, -90.73487399999999 29.63097, -90.734826 29.629507, -90.74366099999999 29.626363, -90.744559 29.625981, -90.749315 29.623833, -90.75026699999999 29.62323199999999, -90.757391 29.631812, -90.75626699999999 29.631126))"
8,22,051,027810,1400000US22051027810,22051027810,278.10,CT,1465315,0,"POLYGON ((-90.08740899999999 29.86779, -90.081687 29.869136, -90.081169 29.867238, -90.07852099999999 29.85963199999999, -90.078132 29.858509, -90.078079 29.857088, -90.078239 29.856327, -90.077224 29.852037, -90.079002 29.85086, -90.08553999999999 29.849334, -90.08641799999999 29.858533, -90.08739399999999 29.867618, -90.08740899999999 29.86779))"
9,22,051,020102,1400000US22051020102,22051020102,201.02,CT,1628768,411035,"POLYGON ((-90.154602 30.019897, -90.15405199999999 30.021829, -90.153621 30.024274, -90.15049700000002 30.021364, -90.146396 30.02135, -90.14512099999999 30.02194, -90.143338 30.02367899999999, -90.138717 30.02373, -90.13703699999999 30.021171, -90.137109 30.019972, -90.13737400000001 30.013866, -90.13738599999999 30.013649, -90.137626 30.008832, -90.14102099999999 30.00896999999999, -90.145324 30.009145, -90.14509799999999 30.013807, -90.14600899999999 30.01367, -90.15003299999999 30.013881, -90.15496000000002 30.014205, -90.154602 30.019897))"
