,Geo_ID,Census Tract,Total Population,White,Black,American Indian and Alask Native,Asian,Native Hawaiian and Other Pacific Islander,Other,Year
0,22071006000,60.0,449,164,179,0,106,0,0,2010
1,22071006300,63.0,1340,283,843,0,0,0,214,2010
2,22071006400,64.0,2118,1273,770,0,30,0,23,2010
3,22071006500,65.0,2126,933,1031,8,0,22,102,2010
4,22071006900,69.0,773,0,773,0,0,0,0,2010
5,22071007000,70.0,1517,55,1462,0,0,0,0,2010
6,22071007101,71.01,967,317,650,0,0,0,0,2010
7,22071007200,72.0,1818,158,1547,0,0,0,23,2010
8,22071007501,75.01,1497,62,1424,11,0,0,0,2010
9,22071007502,75.02,2322,62,2195,0,0,0,65,2010
10,22071007604,76.04,1344,1344,0,0,0,0,0,2010
11,22071007605,76.05,1064,22,1042,0,0,0,0,2010
12,22071007606,76.06,1818,1400,191,0,135,0,23,2010
13,22071007700,77.0,2010,1355,471,0,38,0,34,2010
14,22071007800,78.0,1518,1134,303,0,23,0,0,2010
15,22071008200,82.0,1463,1166,186,0,0,0,15,2010
16,22071008300,83.0,969,505,402,0,46,0,16,2010
17,22071008400,84.0,992,213,723,0,28,0,0,2010
18,22071008500,85.0,1410,68,1316,0,0,0,0,2010
19,22071008600,86.0,570,0,570,0,0,0,0,2010
20,22071008800,88.0,1363,551,688,0,33,0,91,2010
21,22071009000,90.0,1698,1577,54,19,30,0,0,2010
22,22071009100,91.0,2083,659,1351,60,0,0,13,2010
23,22071009200,92.0,970,8,962,0,0,0,0,2010
24,22071009400,94.0,1571,79,1492,0,0,0,0,2010
25,22071009600,96.0,1401,752,641,0,8,0,0,2010
26,22071009700,97.0,1338,729,590,0,19,0,0,2010
27,22071009900,99.0,2815,2397,239,0,89,0,38,2010
28,22071010000,100.0,1487,223,1223,0,0,0,41,2010
29,22071010100,101.0,1978,981,918,0,29,50,0,2010
30,22071010200,102.0,798,124,654,0,0,0,20,2010
31,22071010300,103.0,1874,231,1643,0,0,0,0,2010
32,22071010600,106.0,1629,639,911,9,0,0,0,2010
33,22071010700,107.0,1526,1160,263,0,33,0,8,2010
34,22071010800,108.0,1154,1024,120,0,0,0,10,2010
35,22071010900,109.0,3029,1653,1220,130,14,0,12,2010
36,22071011100,111.0,1508,210,1298,0,0,0,0,2010
37,22071011200,112.0,933,537,257,59,22,0,50,2010
38,22071011400,114.0,1618,1496,92,0,0,8,0,2010
39,22071011500,115.0,1289,1058,69,5,82,0,5,2010
40,22071011600,116.0,1397,1277,86,0,12,0,13,2010
41,22071011700,117.0,2192,2173,0,0,19,0,0,2010
42,22071011900,119.0,1678,1574,32,0,33,0,39,2010
43,22071012000,120.0,1370,1181,87,0,102,0,0,2010
44,22071012101,121.01,3343,2721,212,0,317,0,0,2010
45,22071012102,121.02,4236,3694,161,0,281,0,0,2010
46,22071012200,122.0,1508,1231,101,0,131,0,0,2010
47,22071012300,123.0,1471,776,667,20,0,0,8,2010
48,22071012400,124.0,1502,900,514,0,0,0,88,2010
49,22071012500,125.0,1492,911,496,0,43,0,0,2010
50,22071012600,126.0,1666,1343,182,0,124,0,0,2010
51,22071012700,127.0,2673,1360,1222,0,7,0,72,2010
52,22071012800,128.0,1984,1343,454,0,77,0,105,2010
53,22071012900,129.0,1203,766,326,0,86,0,0,2010
54,22071013000,130.0,1535,395,1131,0,9,0,0,2010
55,22071013100,131.0,1594,6,1588,0,0,0,0,2010
56,22071013200,132.0,2162,609,1355,0,0,0,198,2010
57,22071013301,133.01,3295,3160,0,0,62,0,12,2010
58,22071013302,133.02,1689,1339,283,0,14,0,53,2010
59,22071013400,134.0,1173,783,235,0,77,0,42,2010
60,22071013500,135.0,2001,1758,94,20,55,0,7,2010
61,22071013600,136.0,680,358,312,10,0,0,0,2010
62,22071013700,137.0,1078,105,973,0,0,0,0,2010
63,22071013800,138.0,932,23,909,0,0,0,0,2010
64,22071013900,139.0,930,637,211,26,56,0,0,2010
65,22071014000,140.0,1805,85,1720,0,0,0,0,2010
66,22071014100,141.0,1446,446,943,0,21,0,36,2010
